Year,m,d,Time,Time zone,Maximum temperature (degC)
2004,11,13,00:00,UTC,8.3
2004,11,14,00:00,UTC,3.4
2004,11,15,00:00,UTC,9.4
2004,11,16,00:00,UTC,4.6
2004,11,17,00:00,UTC,-0.5
2004,11,19,00:00,UTC,-3.2
2004,11,20,00:00,UTC,0.6
2004,11,21,00:00,UTC,-1
2004,11,22,00:00,UTC,-0.2
2004,11,23,00:00,UTC,0.7
2004,11,24,00:00,UTC,-4.3
2004,11,25,00:00,UTC,2.9
2004,11,26,00:00,UTC,-2.6
2004,11,27,00:00,UTC,-2.9
2004,11,28,00:00,UTC,-7.5
2004,11,29,00:00,UTC,1.7
2004,11,30,00:00,UTC,3.3
2004,12,1,00:00,UTC,4
2004,12,2,00:00,UTC,3.2
2004,12,3,00:00,UTC,0.6
2004,12,4,00:00,UTC,3.1
2004,12,5,00:00,UTC,5.8
2004,12,6,00:00,UTC,5.9
2004,12,7,00:00,UTC,6.5
2004,12,8,00:00,UTC,3.8
2004,12,9,00:00,UTC,2
2004,12,10,00:00,UTC,3.4
2004,12,11,00:00,UTC,4.3
2004,12,12,00:00,UTC,3.6
2004,12,13,00:00,UTC,-0.5
2004,12,14,00:00,UTC,4
2004,12,15,00:00,UTC,5.2
2004,12,16,00:00,UTC,5.8
2004,12,17,00:00,UTC,4.8
2004,12,18,00:00,UTC,4.6
2004,12,19,00:00,UTC,3.2
2004,12,20,00:00,UTC,0.3
2004,12,21,00:00,UTC,-1.5
2004,12,22,00:00,UTC,2.2
2004,12,23,00:00,UTC,2.1
2004,12,24,00:00,UTC,3.5
2004,12,26,00:00,UTC,3.5
2004,12,27,00:00,UTC,2.1
2004,12,28,00:00,UTC,1.1
2004,12,29,00:00,UTC,2.2
2004,12,30,00:00,UTC,3.2
2004,12,31,00:00,UTC,4.5
2005,1,1,00:00,UTC,3.6
2005,1,2,00:00,UTC,2.2
2005,1,3,00:00,UTC,3.5
2005,1,4,00:00,UTC,0.9
2005,1,5,00:00,UTC,1.7
2005,1,6,00:00,UTC,3.3
2005,1,7,00:00,UTC,6.3
2005,1,8,00:00,UTC,6.9
2005,1,10,00:00,UTC,3.3
2005,1,11,00:00,UTC,7.1
2005,1,12,00:00,UTC,5.1
2005,1,13,00:00,UTC,5.2
2005,1,14,00:00,UTC,4.1
2005,1,15,00:00,UTC,-1
2005,1,16,00:00,UTC,3.3
2005,1,17,00:00,UTC,4.1
2005,1,18,00:00,UTC,2.6
2005,1,19,00:00,UTC,2.3
2005,1,20,00:00,UTC,0.7
2005,1,21,00:00,UTC,1.1
2005,1,22,00:00,UTC,1.1
2005,1,23,00:00,UTC,0
2005,1,24,00:00,UTC,-3.1
2005,1,25,00:00,UTC,-1.9
2005,1,26,00:00,UTC,-1.8
2005,1,27,00:00,UTC,-0.8
2005,1,28,00:00,UTC,-6.6
2005,1,29,00:00,UTC,-6
2005,1,30,00:00,UTC,-3.3
2005,1,31,00:00,UTC,0.7
2005,2,1,00:00,UTC,0.2
2005,2,2,00:00,UTC,-0.5
2005,2,3,00:00,UTC,-1.6
2005,2,4,00:00,UTC,-0.9
2005,2,5,00:00,UTC,0.6
2005,2,6,00:00,UTC,2.3
2005,2,7,00:00,UTC,1.8
2005,2,8,00:00,UTC,0.7
2005,2,9,00:00,UTC,-0.3
2005,2,10,00:00,UTC,1.2
2005,2,11,00:00,UTC,2.7
2005,2,12,00:00,UTC,2.4
2005,2,13,00:00,UTC,0.5
2005,2,14,00:00,UTC,-1.9
2005,2,15,00:00,UTC,-5.6
2005,2,17,00:00,UTC,-4.4
2005,2,18,00:00,UTC,-1.4
2005,2,19,00:00,UTC,-0.5
2005,2,20,00:00,UTC,-0.8
2005,2,21,00:00,UTC,-4.2
2005,2,22,00:00,UTC,-5.5
2005,2,23,00:00,UTC,-7.2
2005,2,24,00:00,UTC,-4.1
2005,2,25,00:00,UTC,-2.5
2005,2,26,00:00,UTC,-5.4
2005,2,27,00:00,UTC,-6.4
2005,2,28,00:00,UTC,-8.9
2005,3,2,00:00,UTC,-4.3
2005,3,4,00:00,UTC,-6.9
2005,3,5,00:00,UTC,-2.6
2005,3,6,00:00,UTC,-3.8
2005,3,7,00:00,UTC,-2.9
2005,3,8,00:00,UTC,-1.7
2005,3,10,00:00,UTC,-3.7
2005,3,11,00:00,UTC,-4
2005,3,12,00:00,UTC,-6.1
2005,3,13,00:00,UTC,-6.2
2005,3,14,00:00,UTC,-5.1
2005,3,15,00:00,UTC,-3.5
2005,3,16,00:00,UTC,-2.8
2005,3,17,00:00,UTC,-3.5
2005,3,18,00:00,UTC,-3.1
2005,3,19,00:00,UTC,-1.4
2005,3,20,00:00,UTC,-1.3
2005,3,21,00:00,UTC,2.5
2005,3,23,00:00,UTC,1
2005,3,24,00:00,UTC,3.4
2005,3,25,00:00,UTC,10.5
2005,3,26,00:00,UTC,6.8
2005,3,27,00:00,UTC,2.5
2005,3,28,00:00,UTC,0.8
2005,3,29,00:00,UTC,3.7
2005,3,30,00:00,UTC,5.6
2005,3,31,00:00,UTC,9.4
2005,4,2,00:00,UTC,4.4
2005,4,3,00:00,UTC,13.1
2005,4,4,00:00,UTC,8.5
2005,4,8,00:00,UTC,6.7
2005,4,9,00:00,UTC,8.1
2005,4,10,00:00,UTC,5.5
2005,4,19,00:00,UTC,6.3
2005,4,20,00:00,UTC,3.3
2005,4,21,00:00,UTC,2.6
2005,4,22,00:00,UTC,4
2005,4,23,00:00,UTC,5.7
2005,4,24,00:00,UTC,7.3
2005,4,25,00:00,UTC,10.2
2005,4,26,00:00,UTC,11.8
2005,4,27,00:00,UTC,10.1
2005,4,28,00:00,UTC,12.5
2005,4,29,00:00,UTC,11.8
2005,4,30,00:00,UTC,6.8
2005,5,1,00:00,UTC,5.2
2005,5,2,00:00,UTC,9.6
2005,5,3,00:00,UTC,7.2
2005,5,4,00:00,UTC,9.9
2005,5,5,00:00,UTC,8.8
2005,5,6,00:00,UTC,12.8
2005,5,7,00:00,UTC,12.2
2005,5,8,00:00,UTC,12.5
2005,5,9,00:00,UTC,14.8
2005,5,10,00:00,UTC,15.6
2005,5,11,00:00,UTC,14.9
2005,5,12,00:00,UTC,15.7
2005,5,13,00:00,UTC,17.2
2005,5,15,00:00,UTC,13.7
2005,5,16,00:00,UTC,13.1
2005,5,17,00:00,UTC,11.8
2005,5,18,00:00,UTC,10.4
2005,5,19,00:00,UTC,10.4
2005,5,20,00:00,UTC,13.4
2005,5,21,00:00,UTC,16.2
2005,5,22,00:00,UTC,20.1
2005,5,23,00:00,UTC,22.4
2005,5,24,00:00,UTC,23.1
2005,5,25,00:00,UTC,18.7
2005,5,26,00:00,UTC,15.7
2005,5,27,00:00,UTC,18.5
2005,5,28,00:00,UTC,17.8
2005,5,29,00:00,UTC,12.9
2005,5,30,00:00,UTC,15.8
2005,5,31,00:00,UTC,15.8
2005,6,1,00:00,UTC,11.1
2005,6,2,00:00,UTC,16.2
2005,6,3,00:00,UTC,15.3
2005,6,4,00:00,UTC,13.4
2005,6,5,00:00,UTC,15.7
2005,6,6,00:00,UTC,12.3
2005,6,7,00:00,UTC,15.4
2005,6,8,00:00,UTC,18.3
2005,6,9,00:00,UTC,18.5
2005,6,10,00:00,UTC,18.4
2005,6,11,00:00,UTC,19.9
2005,6,12,00:00,UTC,18.4
2005,6,14,00:00,UTC,18.8
2005,6,15,00:00,UTC,23.9
2005,6,16,00:00,UTC,21.5
2005,6,18,00:00,UTC,23
2005,6,19,00:00,UTC,22.6
2005,6,20,00:00,UTC,19.6
2005,6,22,00:00,UTC,19.9
2005,6,23,00:00,UTC,21.4
2005,6,24,00:00,UTC,19.5
2005,6,25,00:00,UTC,19.4
2005,6,26,00:00,UTC,19.3
2005,6,28,00:00,UTC,15.1
2005,6,29,00:00,UTC,14.9
2005,6,30,00:00,UTC,18.4
2005,7,2,00:00,UTC,20.2
2005,7,8,00:00,UTC,21.3
2005,7,10,00:00,UTC,30.1
2005,7,11,00:00,UTC,29.6
2005,7,12,00:00,UTC,27.7
2005,7,13,00:00,UTC,27.6
2005,7,14,00:00,UTC,24.6
2005,7,15,00:00,UTC,23.1
2005,7,16,00:00,UTC,25.3
2005,7,17,00:00,UTC,23.6
2005,7,18,00:00,UTC,23.6
2005,7,19,00:00,UTC,21.7
2005,7,20,00:00,UTC,21.9
2005,7,21,00:00,UTC,21.5
2005,7,22,00:00,UTC,19.9
2005,7,23,00:00,UTC,19.8
2005,7,24,00:00,UTC,19.5
2005,7,25,00:00,UTC,20.6
2005,7,26,00:00,UTC,22.6
2005,7,27,00:00,UTC,21.5
2005,7,28,00:00,UTC,21.2
2005,7,29,00:00,UTC,20.3
2005,7,30,00:00,UTC,23.2
2005,7,31,00:00,UTC,22.8
2005,8,1,00:00,UTC,21.2
2005,8,2,00:00,UTC,23
2005,8,3,00:00,UTC,20.7
2005,8,4,00:00,UTC,20.4
2005,8,5,00:00,UTC,20.2
2005,8,6,00:00,UTC,20.2
2005,8,7,00:00,UTC,20.8
2005,8,8,00:00,UTC,21
2005,8,9,00:00,UTC,26.2
2005,8,11,00:00,UTC,15.9
2005,8,12,00:00,UTC,19.2
2005,8,13,00:00,UTC,19.7
2005,8,14,00:00,UTC,17.9
2005,8,15,00:00,UTC,20.3
2005,8,16,00:00,UTC,19.3
2005,8,17,00:00,UTC,18.6
2005,8,18,00:00,UTC,19.6
2005,8,19,00:00,UTC,20.4
2005,8,20,00:00,UTC,22.9
2005,8,21,00:00,UTC,20.5
2005,8,22,00:00,UTC,17.3
2005,8,23,00:00,UTC,18.7
2005,8,24,00:00,UTC,20.7
2005,8,25,00:00,UTC,23.4
2005,8,26,00:00,UTC,21.9
2005,8,27,00:00,UTC,18.7
2005,8,28,00:00,UTC,15.6
2005,8,29,00:00,UTC,18.4
2005,8,30,00:00,UTC,18.4
2005,8,31,00:00,UTC,18.2
